DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1038/s41467-020-19212-y,Peoples R China,Zhejiang Univ,NATURE COMMUNICATIONS,17.694,10/23/2020,85,819,0.103785104,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0_5,MDP4PP_0,HTEMP_50_100,HTIME_720_1440,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_OVER500,-0.958607315
10.1038/s41565-021-00986-1,Peoples R China,Zhejiang Univ,NATURE NANOTECHNOLOGY,40.523,11/3/2021,48,443,0.108352144,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_10_20,MDP3PP_0_5,MDP4PP_0,HTEMP_LOWER_THAN_RT,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_OVER500,-2
10.1039/D0TA07093A,Portugal,Int Iberian Nanotechnol Lab INL,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/24/2020,21,757,0.027741083,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_OVER100,STT_100_500,-0.408935393
10.1038/s41929-021-00732-9,Japan,RIKEN,NATURE CATALYSIS,40.706,3/3/2022,38,323,0.117647059,MDP_1_Co,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_OVER5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_0.1_1,SCD_OVER100,STT_100_500,-0.045757491
10.1021/acs.nanolett.2c01777,Peoples R China,Univ Sci & Technol China,NANO LETTERS,12.262,9/8/2022,0,134,0,MDP_1_Ca,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_150_200,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_100_500,-0.552841969
10.1016/j.nanoen.2022.107960,Peoples R China,Northwestern Polytech Univ,NANO ENERGY,19.069,12/31/2022,1,20,0.05,MDP_1_Ce,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,-2.01
10.1007/s12274-022-4081-4,Peoples R China,Soochow Univ,NANO RESEARCH,10.269,2/11/2022,1,343,0.002915452,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_10_20,MDP3PP_0_5,MDP4PP_0,HTEMP_200_250,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._True,CL_0.3_0.6,SL_1_5,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,-0.744727495
10.1002/adma.202206351,Peoples R China,Hefei National Research Center for Physical Sciences at the Microscale,"Advanced materials (Deerfield Beach, Fla.)",32.086,1/9/2023,0,11,0,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_5_15,MDP4PP_0,HTEMP_50_100,HTIME_360_720,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_OVER100,STT_100_500,-0.48148606
10.1002/adma.202206351,Peoples R China,Hefei National Research Center for Physical Sciences at the Microscale,"Advanced materials (Deerfield Beach, Fla.)",32.086,1/9/2023,0,11,0,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_5_15,MDP4PP_0,HTEMP_50_100,HTIME_360_720,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_500_600,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_OVER100,STT_100_500,-0.638272164
10.1038/s41929-021-00703-0,Peoples R China,Donghua Univ,NATURE CATALYSIS,40.706,12/27/2021,66,389,0.16966581,MDP_1_Mn,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_720_1440,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_1_5,SL_0,Support is not Carbon_False,Carbon Paper,EPC_0.1_1,SCD_10_50,STT_100_500,-0.075720714
10.1021/jacs.1c01525,Australia,Univ Adelaide,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,16.383,4/22/2021,135,638,0.211598746,MDP_1_Co,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_100_500,-0.366531544
10.1002/smtd.202101236,South Korea,Korea Univ,SMALL METHODS,15.367,11/25/2021,6,421,0.014251781,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_30_40,MDP3PP_0_5,MDP4PP_0,HTEMP_50_100,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_200_300,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0.1_0.2,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_10_50,STT_100_500,-0.585026652
10.1021/acsenergylett.2c01683,Peoples R China,Univ Sci & Technol China,ACS ENERGY LETTERS,23.991,11/26/2022,0,55,0,MDP_1_Ca,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_20_30,MDP3PP_5_15,MDP4PP_0,HTEMP_150_200,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_600_800,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_100_500,-1.698970004
10.1016/j.cej.2020.128155,Peoples R China,Zhejiang Univ,CHEMICAL ENGINEERING JOURNAL,16.744,3/4/2021,13,687,0.018922853,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_60_180,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.3_0.6,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,-0.552841969
10.1016/j.apcatb.2022.121884,Peoples R China,Chongqing Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,9/23/2022,0,119,0,MDP_1_Pb,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_25_50,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_360_720,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._True,CL_0.3_0.6,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_0.1_1,SCD_0_10,STT_100_500,-0.075720714
10.1016/j.apcatb.2020.118643,Peoples R China,Zhejiang Univ,APPLIED CATALYSIS B-ENVIRONMENTAL,24.319,3/17/2020,31,1039,0.029836381,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0_5,MDP4PP_0,HTEMP_50_100,HTIME_720_1440,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_800_1000,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0_0.05,SL_0.5_1,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,-0.638272164
10.1039/D0TA07093A,Portugal,Int Iberian Nanotechnol Lab INL,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/24/2020,21,757,0.027741083,MDP_1_Ir,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_0_60,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.2_0.3,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_OVER100,STT_100_500,0.021189299
10.1038/s41467-021-20956-4,Japan,Kyoto Univ,NATURE COMMUNICATIONS,17.694,4/3/2021,53,657,0.080669711,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_0_10,MDP3PP_0,MDP4PP_0,HTEMP_200_250,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_RT,ATIME_0,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.05_0.1,SL_0.2_0.5,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_0_10,STT_100_500,-0.26760624
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_RT,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,-0.468521083
10.1021/acsami.6b12984,USA,US Naval Res Lab,ACS APPLIED MATERIALS & INTERFACES,10.383,3/8/2017,41,2144,0.019123134,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_100,MDP2PP_0,MDP3PP_0,MDP4PP_0,HTEMP_LOWER_THAN_RT,HTIME_0_60,Hydrothermal Still,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_True,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.6_1,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,0.071882007
10.1007/s12678-022-00798-4,South Africa,Univ Western Cape,ELECTROCATALYSIS,2.933,1/15/2023,0,5,0,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_10_20,MDP3PP_0,MDP4PP_0,HTEMP_RT,HTIME_0_60,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_120_180,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._True,CL_0.6_1,SL_0,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_100_500,-0.455931956
10.1002/aenm.202102883,Peoples R China,Harbin Inst Technol,ADVANCED ENERGY MATERIALS,29.698,11/18/2021,7,428,0.01635514,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_50_100,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_OVER100,STT_100_500,-0.408935393
10.1002/aenm.202102883,Peoples R China,Harbin Inst Technol,ADVANCED ENERGY MATERIALS,29.698,11/18/2021,7,428,0.01635514,MDP_1_Ru,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_50_75,MDP2PP_40_51,MDP3PP_0,MDP4PP_0,HTEMP_50_100,HTIME_360_720,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_False,Mixed in Solid or Liquid_False,ATEMP_400_500,ATIME_60_120,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0,Support is not Carbon_False,Carbon Paper,EPC_OVER1,SCD_10_50,STT_100_500,-0.602059991
10.1002/anie.202212341,Peoples R China,Chinese Acad Sci,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,12/11/2022,0,40,0,MDP_1_Nb,MDP_2_Ru,MDP_3_None,MDP_4_None,MDP1PP_75_100,MDP2PP_20_30,MDP3PP_0,MDP4PP_0,HTEMP_150_200,HTIME_180_360,Hydrothermal Stirring,Hydrothermal Strong Reductant in Liquid_False,Hydrothermal Weak Reductant in Liquid_True,Mixed in Solid or Liquid_False,ATEMP_300_400,ATIME_180_360,Annealing Still,Annealing Atomosphere Inert_False,Annealing Atomosphere Reductive_False,Post-processing Acid Wash etc._False,CL_0.1_0.2,SL_0.1_0.2,Support is not Carbon_False,Glassy Carbon,EPC_OVER1,SCD_10_50,STT_100_500,0.045322979
