June 9, 2023   14:27:16
1.196,   3.366e-4
1.197,   3.405e-4
1.198,   3.403e-4
1.199,   3.432e-4
1.200,   3.413e-4
1.201,   3.441e-4
1.202,   3.442e-4
1.203,   3.462e-4
1.204,   3.448e-4
1.205,   3.503e-4
1.206,   3.506e-4
1.207,   3.524e-4
1.208,   3.468e-4
1.209,   3.521e-4
1.210,   3.540e-4
1.211,   3.534e-4
1.212,   3.532e-4
1.213,   3.561e-4
1.214,   3.565e-4
1.215,   3.603e-4
1.216,   3.561e-4
1.217,   3.601e-4
1.218,   3.622e-4
1.219,   3.659e-4
1.220,   3.628e-4
1.221,   3.651e-4
1.222,   3.648e-4
1.223,   3.668e-4
1.224,   3.642e-4
1.225,   3.678e-4
1.226,   3.700e-4
1.227,   3.718e-4
1.228,   3.695e-4
1.229,   3.719e-4
1.230,   3.737e-4
1.231,   3.758e-4
1.232,   3.735e-4
1.233,   3.771e-4
1.234,   3.785e-4
1.235,   3.796e-4
1.236,   3.751e-4
1.237,   3.795e-4
1.238,   3.808e-4
1.239,   3.836e-4
1.240,   3.812e-4
1.241,   3.842e-4
1.242,   3.852e-4
1.243,   3.871e-4
1.244,   3.854e-4
1.245,   3.877e-4
1.246,   3.876e-4
1.247,   3.907e-4
1.248,   3.886e-4
1.249,   3.905e-4
1.250,   3.929e-4
1.251,   3.971e-4
1.252,   3.943e-4
1.253,   3.970e-4
1.254,   3.955e-4
1.255,   3.995e-4
1.256,   3.958e-4
1.257,   4.014e-4
1.258,   4.019e-4
1.259,   4.023e-4
1.260,   3.993e-4
1.261,   4.041e-4
1.262,   4.068e-4
1.263,   4.084e-4
1.264,   4.034e-4
1.265,   4.069e-4
1.266,   4.082e-4
1.267,   4.138e-4
1.268,   4.071e-4
1.269,   4.087e-4
1.270,   4.111e-4
1.271,   4.134e-4
1.272,   4.089e-4
1.273,   4.126e-4
1.274,   4.156e-4
1.275,   4.177e-4
1.276,   4.154e-4
1.277,   4.173e-4
1.278,   4.189e-4
1.279,   4.215e-4
1.280,   4.196e-4
1.281,   4.217e-4
1.282,   4.241e-4
1.283,   4.238e-4
1.284,   4.227e-4
1.285,   4.234e-4
1.286,   4.237e-4
1.287,   4.281e-4
1.288,   4.259e-4
1.289,   4.269e-4
1.290,   4.294e-4
1.291,   4.320e-4
1.292,   4.319e-4
1.293,   4.307e-4
1.294,   4.331e-4
1.295,   4.336e-4
1.296,   4.360e-4
1.297,   4.351e-4
1.298,   4.335e-4
1.299,   4.352e-4
1.300,   4.368e-4
1.301,   4.362e-4
1.302,   4.371e-4
1.303,   4.407e-4
1.304,   4.411e-4
1.305,   4.401e-4
1.306,   4.414e-4
1.307,   4.436e-4
1.308,   4.448e-4
1.309,   4.452e-4
1.310,   4.459e-4
1.311,   4.476e-4
1.312,   4.474e-4
1.313,   4.498e-4
1.314,   4.525e-4
1.315,   4.520e-4
1.316,   4.504e-4
1.317,   4.511e-4
1.318,   4.552e-4
1.319,   4.554e-4
1.320,   4.548e-4
1.321,   4.565e-4
1.322,   4.601e-4
1.323,   4.601e-4
1.324,   4.602e-4
1.325,   4.607e-4
1.326,   4.629e-4
1.327,   4.630e-4
1.328,   4.640e-4
1.329,   4.648e-4
1.330,   4.709e-4
1.331,   4.722e-4
1.332,   4.718e-4
1.333,   4.704e-4
1.334,   4.759e-4
1.335,   4.775e-4
1.336,   4.768e-4
1.337,   4.761e-4
1.338,   4.827e-4
1.339,   4.823e-4
1.340,   4.812e-4
1.341,   4.794e-4
1.342,   4.852e-4
1.343,   4.869e-4
1.344,   4.868e-4
1.345,   4.884e-4
1.346,   4.967e-4
1.347,   4.956e-4
1.348,   4.981e-4
1.349,   4.970e-4
1.350,   5.004e-4
1.351,   4.990e-4
1.352,   4.990e-4
1.353,   4.994e-4
1.354,   5.071e-4
1.355,   5.083e-4
1.356,   5.108e-4
1.357,   5.077e-4
1.358,   5.129e-4
1.359,   5.148e-4
1.360,   5.174e-4
1.361,   5.144e-4
1.362,   5.215e-4
1.363,   5.274e-4
1.364,   5.246e-4
1.365,   5.256e-4
1.366,   5.335e-4
1.367,   5.347e-4
1.368,   5.377e-4
1.369,   5.380e-4
1.370,   5.450e-4
1.371,   5.473e-4
1.372,   5.500e-4
1.373,   5.545e-4
1.374,   5.575e-4
1.375,   5.589e-4
1.376,   5.619e-4
1.377,   5.660e-4
1.378,   5.675e-4
1.379,   5.731e-4
1.380,   5.765e-4
1.381,   5.853e-4
1.382,   5.891e-4
1.383,   5.907e-4
1.384,   5.940e-4
1.385,   5.992e-4
1.386,   6.046e-4
1.387,   6.006e-4
1.388,   6.145e-4
1.389,   6.169e-4
1.390,   6.257e-4
1.391,   6.278e-4
1.392,   6.334e-4
1.393,   6.402e-4
1.394,   6.467e-4
1.395,   6.445e-4
1.396,   6.563e-4
1.397,   6.630e-4
1.398,   6.754e-4
1.399,   6.815e-4
1.400,   6.897e-4
1.401,   6.924e-4
1.402,   7.039e-4
1.403,   7.148e-4
1.404,   7.249e-4
1.405,   7.297e-4
1.406,   7.474e-4
1.407,   7.561e-4
1.408,   7.669e-4
1.409,   7.728e-4
1.410,   7.950e-4
1.411,   8.045e-4
1.412,   8.297e-4
1.413,   8.381e-4
1.414,   8.544e-4
1.415,   8.675e-4
1.416,   8.848e-4
1.417,   9.000e-4
1.418,   9.308e-4
1.419,   9.420e-4
1.420,   9.634e-4
1.421,   9.753e-4
1.422,   1.006e-3
1.423,   1.033e-3
1.424,   1.066e-3
1.425,   1.085e-3
1.426,   1.117e-3
1.427,   1.145e-3
1.428,   1.174e-3
1.429,   1.194e-3
1.430,   1.238e-3
1.431,   1.278e-3
1.432,   1.299e-3
1.433,   1.337e-3
1.434,   1.386e-3
1.435,   1.415e-3
1.436,   1.463e-3
1.437,   1.503e-3
1.438,   1.556e-3
1.439,   1.599e-3
1.440,   1.648e-3
1.441,   1.690e-3
1.442,   1.749e-3
1.443,   1.795e-3
1.444,   1.831e-3
1.445,   1.884e-3
1.446,   1.953e-3
1.447,   2.018e-3
1.448,   2.106e-3
1.449,   2.151e-3
1.450,   2.225e-3
1.451,   2.290e-3
1.452,   2.362e-3
1.453,   2.417e-3
1.454,   2.495e-3
1.455,   2.569e-3
1.456,   2.627e-3
1.457,   2.674e-3
1.458,   2.780e-3
1.459,   2.857e-3
1.460,   2.943e-3
1.461,   2.992e-3
1.462,   3.077e-3
1.463,   3.180e-3
1.464,   3.254e-3
1.465,   3.310e-3
1.466,   3.427e-3
1.467,   3.543e-3
1.468,   3.638e-3
1.469,   3.697e-3
1.470,   3.801e-3
1.471,   3.919e-3
1.472,   4.029e-3
1.473,   4.098e-3
1.474,   4.221e-3
1.475,   4.343e-3
1.476,   4.455e-3
1.477,   4.531e-3
1.478,   4.651e-3
1.479,   4.768e-3
1.480,   4.873e-3
1.481,   4.950e-3
1.482,   5.066e-3
1.483,   5.150e-3
1.484,   5.242e-3
1.485,   5.348e-3
1.486,   5.485e-3
1.487,   5.621e-3
1.488,   5.730e-3
1.489,   5.811e-3
1.490,   5.918e-3
1.491,   6.037e-3
1.492,   6.124e-3
1.493,   6.179e-3
1.494,   6.320e-3
1.495,   6.470e-3
1.496,   6.594e-3
1.497,   6.650e-3
1.498,   6.790e-3
1.499,   6.944e-3
1.500,   7.055e-3
1.501,   7.167e-3
1.502,   7.283e-3
1.503,   7.449e-3
1.504,   7.557e-3
1.505,   7.609e-3
1.506,   7.751e-3
1.507,   7.948e-3
1.508,   8.079e-3
1.509,   8.125e-3
1.510,   8.216e-3
1.511,   8.389e-3
1.512,   8.533e-3
1.513,   8.553e-3
1.514,   8.686e-3
1.515,   8.901e-3
1.516,   9.047e-3
1.517,   9.108e-3
1.518,   9.225e-3
1.519,   9.398e-3
1.520,   9.503e-3
1.521,   9.527e-3
1.522,   9.622e-3
1.523,   9.796e-3
1.524,   9.870e-3
1.525,   9.957e-3
1.526,   1.002e-2
1.527,   1.006e-2
1.528,   1.007e-2
1.529,   1.007e-2
1.530,   1.007e-2
1.531,   1.007e-2
1.532,   1.007e-2
