May 30, 2023   14:58:04
1.237,   5.077E-05
1.238,   5.060E-05
1.239,   5.106E-05
1.24,   5.102E-05
1.241,   5.097E-05
1.242,   5.109E-05
1.243,   5.136E-05
1.244,   5.111E-05
1.245,   5.138E-05
1.246,   5.153E-05
1.247,   5.156E-05
1.248,   5.173E-05
1.249,   5.192E-05
1.25,   5.204E-05
1.251,   5.192E-05
1.252,   5.213E-05
1.253,   5.224E-05
1.254,   5.226E-05
1.255,   5.244E-05
1.256,   5.249E-05
1.257,   5.268E-05
1.258,   5.271E-05
1.259,   5.282E-05
1.26,   5.293E-05
1.261,   5.304E-05
1.262,   5.334E-05
1.263,   5.319E-05
1.264,   5.321E-05
1.265,   5.344E-05
1.266,   5.372E-05
1.267,   5.361E-05
1.268,   5.373E-05
1.269,   5.374E-05
1.27,   5.389E-05
1.271,   5.401E-05
1.272,   5.370E-05
1.273,   5.410E-05
1.274,   5.412E-05
1.275,   5.425E-05
1.276,   5.435E-05
1.277,   5.453E-05
1.278,   5.449E-05
1.279,   5.457E-05
1.28,   5.457E-05
1.281,   5.476E-05
1.282,   5.480E-05
1.283,   5.511E-05
1.284,   5.526E-05
1.285,   5.497E-05
1.286,   5.518E-05
1.287,   5.523E-05
1.288,   5.537E-05
1.289,   5.554E-05
1.29,   5.559E-05
1.291,   5.563E-05
1.292,   5.568E-05
1.293,   5.573E-05
1.294,   5.583E-05
1.295,   5.587E-05
1.296,   5.599E-05
1.297,   5.613E-05
1.298,   5.591E-05
1.299,   5.618E-05
1.3,   5.629E-05
1.301,   5.635E-05
1.302,   5.649E-05
1.303,   5.657E-05
1.304,   5.653E-05
1.305,   5.671E-05
1.306,   5.680E-05
1.307,   5.668E-05
1.308,   5.684E-05
1.309,   5.679E-05
1.31,   5.710E-05
1.311,   5.691E-05
1.312,   5.703E-05
1.313,   5.719E-05
1.314,   5.728E-05
1.315,   5.740E-05
1.316,   5.762E-05
1.317,   5.750E-05
1.318,   5.766E-05
1.319,   5.782E-05
1.32,   5.767E-05
1.321,   5.784E-05
1.322,   5.779E-05
1.323,   5.793E-05
1.324,   5.811E-05
1.325,   5.812E-05
1.326,   5.827E-05
1.327,   5.835E-05
1.328,   5.850E-05
1.329,   5.865E-05
1.33,   5.865E-05
1.331,   5.863E-05
1.332,   5.878E-05
1.333,   5.889E-05
1.334,   5.876E-05
1.335,   5.922E-05
1.336,   5.917E-05
1.337,   5.910E-05
1.338,   5.919E-05
1.339,   5.930E-05
1.34,   5.953E-05
1.341,   5.982E-05
1.342,   5.970E-05
1.343,   5.987E-05
1.344,   6.011E-05
1.345,   6.026E-05
1.346,   5.997E-05
1.347,   6.034E-05
1.348,   6.023E-05
1.349,   6.055E-05
1.35,   6.036E-05
1.351,   6.061E-05
1.352,   6.073E-05
1.353,   6.081E-05
1.354,   6.092E-05
1.355,   6.098E-05
1.356,   6.118E-05
1.357,   6.129E-05
1.358,   6.145E-05
1.359,   6.159E-05
1.36,   6.175E-05
1.361,   6.215E-05
1.362,   6.192E-05
1.363,   6.218E-05
1.364,   6.245E-05
1.365,   6.255E-05
1.366,   6.271E-05
1.367,   6.286E-05
1.368,   6.303E-05
1.369,   6.336E-05
1.37,   6.340E-05
1.371,   6.347E-05
1.372,   6.387E-05
1.373,   6.382E-05
1.374,   6.384E-05
1.375,   6.424E-05
1.376,   6.445E-05
1.377,   6.475E-05
1.378,   6.504E-05
1.379,   6.492E-05
1.38,   6.533E-05
1.381,   6.536E-05
1.382,   6.563E-05
1.383,   6.581E-05
1.384,   6.599E-05
1.385,   6.652E-05
1.386,   6.665E-05
1.387,   6.668E-05
1.388,   6.708E-05
1.389,   6.731E-05
1.39,   6.758E-05
1.391,   6.789E-05
1.392,   6.844E-05
1.393,   6.877E-05
1.394,   6.860E-05
1.395,   6.952E-05
1.396,   6.974E-05
1.397,   6.978E-05
1.398,   7.025E-05
1.399,   7.062E-05
1.4,   7.105E-05
1.401,   7.146E-05
1.402,   7.184E-05
1.403,   7.240E-05
1.404,   7.281E-05
1.405,   7.331E-05
1.406,   7.394E-05
1.407,   7.438E-05
1.408,   7.488E-05
1.409,   7.581E-05
1.41,   7.652E-05
1.411,   7.699E-05
1.412,   7.761E-05
1.413,   7.833E-05
1.414,   7.883E-05
1.415,   7.952E-05
1.416,   8.067E-05
1.417,   8.183E-05
1.418,   8.272E-05
1.419,   8.325E-05
1.42,   8.452E-05
1.421,   8.552E-05
1.422,   8.677E-05
1.423,   8.804E-05
1.424,   8.936E-05
1.425,   9.083E-05
1.426,   9.260E-05
1.427,   9.400E-05
1.428,   9.536E-05
1.429,   9.723E-05
1.43,   9.924E-05
1.431,   1.014E-04
1.432,   1.034E-04
1.433,   1.061E-04
1.434,   1.085E-04
1.435,   1.110E-04
1.436,   1.137E-04
1.437,   1.167E-04
1.438,   1.198E-04
1.439,   1.231E-04
1.44,   1.265E-04
1.441,   1.305E-04
1.442,   1.344E-04
1.443,   1.387E-04
1.444,   1.428E-04
1.445,   1.472E-04
1.446,   1.524E-04
1.447,   1.577E-04
1.448,   1.631E-04
1.449,   1.693E-04
1.45,   1.754E-04
1.451,   1.816E-04
1.452,   1.886E-04
1.453,   1.954E-04
1.454,   2.030E-04
1.455,   2.109E-04
1.456,   2.193E-04
1.457,   2.276E-04
1.458,   2.369E-04
1.459,   2.463E-04
1.46,   2.564E-04
1.461,   2.665E-04
1.462,   2.774E-04
1.463,   2.887E-04
1.464,   3.005E-04
1.465,   3.130E-04
1.466,   3.258E-04
1.467,   3.389E-04
1.468,   3.527E-04
1.469,   3.676E-04
1.47,   3.823E-04
1.471,   3.981E-04
1.472,   4.142E-04
1.473,   4.312E-04
1.474,   4.480E-04
1.475,   4.657E-04
1.476,   4.848E-04
1.477,   5.039E-04
1.478,   5.237E-04
1.479,   5.442E-04
1.48,   5.657E-04
1.481,   5.861E-04
1.482,   6.083E-04
1.483,   6.326E-04
1.484,   6.577E-04
1.485,   6.832E-04
1.486,   7.078E-04
1.487,   7.327E-04
1.488,   7.606E-04
1.489,   7.882E-04
1.49,   8.152E-04
1.491,   8.437E-04
1.492,   8.750E-04
1.493,   9.058E-04
1.494,   9.388E-04
1.495,   9.713E-04
1.496,   1.006E-03
1.497,   1.040E-03
1.498,   1.076E-03
1.499,   1.112E-03
1.5,   1.147E-03
1.501,   1.184E-03
1.502,   1.221E-03
1.503,   1.258E-03
1.504,   1.299E-03
1.505,   1.342E-03
1.506,   1.383E-03
1.507,   1.425E-03
1.508,   1.467E-03
1.509,   1.509E-03
1.51,   1.553E-03
1.511,   1.595E-03
1.512,   1.635E-03
1.513,   1.685E-03
1.514,   1.736E-03
1.515,   1.785E-03
1.516,   1.835E-03
1.517,   1.884E-03
1.518,   1.931E-03
1.519,   1.984E-03
1.52,   2.035E-03
1.521,   2.086E-03
1.522,   2.139E-03
1.523,   2.188E-03
1.524,   2.239E-03
1.525,   2.292E-03
1.526,   2.347E-03
1.527,   2.401E-03
1.528,   2.456E-03
1.529,   2.523E-03
1.53,   2.589E-03
1.531,   2.644E-03
1.532,   2.696E-03
1.533,   2.744E-03
1.534,   2.801E-03
1.535,   2.859E-03
1.536,   2.915E-03
1.537,   2.975E-03
1.538,   3.045E-03
1.539,   3.118E-03
1.54,   3.176E-03
1.541,   3.229E-03
1.542,   3.284E-03
1.543,   3.337E-03
1.544,   3.394E-03
1.545,   3.452E-03
1.546,   3.574E-03
1.547,   3.631E-03
1.548,   3.678E-03
1.549,   3.727E-03
1.55,   3.792E-03
1.551,   3.852E-03
1.552,   3.905E-03
1.553,   3.987E-03
1.554,   4.043E-03
1.555,   4.103E-03
1.556,   4.154E-03
1.557,   4.209E-03
1.558,   4.267E-03
1.559,   4.321E-03
1.56,   4.382E-03
1.561,   4.497E-03
1.562,   4.584E-03
1.563,   4.632E-03
1.564,   4.682E-03
1.565,   4.755E-03
1.566,   4.839E-03
1.567,   4.957E-03
1.568,   5.007E-03
1.569,   5.043E-03
1.57,   5.096E-03
1.571,   5.143E-03
1.572,   5.210E-03
1.573,   5.263E-03
1.574,   5.298E-03
1.575,   5.355E-03
1.576,   5.410E-03
1.577,   5.481E-03
1.578,   5.579E-03
1.579,   6.096E-03
1.58,   6.134E-03
1.581,   6.145E-03
1.582,   6.157E-03
1.583,   6.158E-03
1.584,   6.290E-03
1.585,   6.366E-03
1.586,   6.390E-03
1.587,   6.426E-03
1.588,   6.443E-03
1.589,   6.519E-03
1.59,   6.636E-03
1.591,   6.679E-03
1.592,   6.713E-03
1.593,   6.822E-03
1.594,   6.855E-03
1.595,   6.874E-03
1.596,   6.932E-03
1.597,   6.980E-03
1.598,   7.566E-03
1.599,   7.561E-03
1.6,   7.530E-03
1.601,   7.543E-03
1.602,   7.617E-03
1.603,   7.721E-03
1.604,   7.705E-03
1.605,   7.716E-03
1.606,   7.793E-03
1.607,   8.465E-03
1.608,   8.481E-03
1.609,   8.367E-03
1.61,   8.328E-03
1.611,   8.485E-03
1.612,   8.712E-03
1.613,   8.634E-03
1.614,   8.568E-03
1.615,   8.846E-03
1.616,   9.293E-03
1.617,   9.133E-03
1.618,   9.038E-03
1.619,   9.067E-03
1.62,   9.456E-03
1.621,   9.300E-03
1.622,   9.198E-03
1.623,   9.194E-03
1.624,   9.268E-03
1.625,   9.332E-03
1.626,   9.284E-03
1.627,   9.252E-03
1.628,   9.356E-03
1.629,   9.479E-03
1.63,   9.603E-03
1.631,   9.612E-03
1.632,   9.590E-03
1.633,   9.812E-03
1.634,   1.007E-02
1.635,   1.007E-02
1.636,   1.007E-02
1.637,   1.007E-02
1.638,   1.007E-02
1.639,   1.007E-02
